id_country,day,prec,presMax,presMin,tmax,tmed,tmin,velmedia,catch_for_day,id_place
18,13,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1,9,0
20,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3,5,1
14,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,8,2
11,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,6,3
11,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,13,4
19,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1,3,5
18,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4,6,6
19,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5,5,7
19,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,6,6
11,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,5,1
11,5,0.4,1015.0,1006.1,24.2,22.0,19.9,1.4,11,2
7,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5,5,7
26,13,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1,15,7
26,13,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1,15,7
11,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,5,2
17,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8,6,8
15,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,5,9
1,14,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7,10,10
17,14,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7,6,11
11,5,0.4,1015.0,1006.1,24.2,22.0,19.9,1.4,11,2
18,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7,11,12
13,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4,3,9
25,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,6,13
2,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8,1,9
25,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,6,13
11,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3,8,0
16,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1,15,13
16,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1,15,13
1,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3,1,14
16,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1,15,13
15,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,3,15
8,17,0.0,1018.4,1015.5,22.9,20.8,18.7,1.1,2,16
11,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,4,11
16,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1,15,13
1,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1,4,10
26,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1,3,17
15,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,4,18
1,13,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1,4,17
9,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3,2,19
14,3,7.1,1009.7,1006.5,20.1,18.9,17.7,1.7,3,13
13,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,5,1
11,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,10,12
9,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3,2,19
11,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1,2,19
11,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1,2,19
9,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,8,13
1,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,4,20
6,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3,7,20
19,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4,12,10
18,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8,1,18
19,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4,12,10
16,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,7,7
16,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,6,4
16,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8,4,15
1,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4,5,6
1,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4,2,21
11,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1,6,13
1,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7,5,22
18,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9,4,6
10,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5,5,4
10,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5,5,4
10,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5,5,4
1,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4,2,11
1,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4,2,11
15,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3,4,23
13,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4,13,12
17,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9,5,8
9,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,2,24
9,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,2,24
6,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4,9,13
1,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4,8,1
1,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8,8,20
1,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4,8,1
1,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,2,25
11,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8,1,26
1,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8,9,7
1,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,9,10
11,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,10,9
11,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,10,9
1,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8,3,5
9,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1,11,3
1,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1,16,12
6,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4,9,13
3,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8,9,12
13,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,5,1
1,5,0.4,1015.0,1006.1,24.2,22.0,19.9,1.4,3,5
1,29,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4,6,7
10,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,6,9
9,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4,6,15
18,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,15,15
11,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4,11,7
20,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,13,1
12,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,7,14
12,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4,3,27
20,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,13,1
1,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,4,2
16,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9,1,28
18,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5,2,29
9,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5,2,29
6,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4,4,2
11,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3,14,7
6,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4,4,2
17,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3,2,30
17,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3,2,30
15,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,4,18
18,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8,5,31
1,3,7.1,1009.7,1006.5,20.1,18.9,17.7,1.7,5,5
14,14,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7,9,7
1,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7,4,9
1,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,14,0
1,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,14,0
6,8,0.0,1010.0,1005.7,23.7,22.0,20.2,0.6,13,15
20,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,13,1
26,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,9,7
6,8,0.0,1010.0,1005.7,23.7,22.0,20.2,0.6,13,15
11,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8,5,6
2,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,6,12
1,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1,3,27
1,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,5,1
1,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7,4,32
18,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,4,2
18,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,4,2
1,14,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7,7,20
1,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,10,12
10,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,6,9
1,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1,5,2
14,14,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7,7,20
2,19,0.0,1021.2,1018.7,23.3,20.6,17.8,1.1,4,1
6,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7,5,0
1,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,14,7
1,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3,4,22
9,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8,2,33
11,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,6,15
11,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,6,15
11,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,10,12
3,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4,8,0
10,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,6,9
9,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8,2,33
18,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,15,15
1,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8,5,32
9,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8,5,32
18,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,14,0
12,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4,8,6
6,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7,5,0
14,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,10,9
1,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,6,3
9,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1,15,13
1,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8,2,30
10,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9,3,34
1,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,13,1
1,11,0.0,1017.2,1013.9,24.6,22.6,20.6,0.6,12,1
11,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,9,10
1,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1,7,15
1,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1,4,3
1,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4,3,27
15,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,4,18
7,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,13,0
1,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8,3,8
9,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8,5,3
11,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,8,8
1,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5,4,0
9,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8,5,3
11,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,8,8
7,3,7.1,1009.7,1006.5,20.1,18.9,17.7,1.7,6,0
1,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,14,7
1,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1,4,3
18,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,14,0
12,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8,3,29
1,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1,4,3
11,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3,4,35
1,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1,4,3
12,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8,3,29
14,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1,3,20
18,19,0.0,1021.2,1018.7,23.3,20.6,17.8,1.1,3,36
1,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1,3,20
11,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3,4,35
1,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,5,1
5,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8,4,27
3,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8,2,26
17,29,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4,6,7
1,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8,2,30
1,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,13,1
18,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,23,15
18,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,23,15
13,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,5,1
7,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8,6,13
13,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8,3,23
11,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7,9,7
18,13,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1,12,13
1,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1,4,1
11,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1,4,2
14,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4,4,20
13,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,5,22
9,29,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4,11,0
15,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,7,37
1,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7,5,0
11,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,13,1
1,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9,13,12
16,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3,5,16
10,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8,11,12
13,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1,5,22
1,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7,4,32
1,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,5,32
11,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8,9,7
1,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8,8,12
11,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8,10,12
11,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,9,0
12,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4,3,14
10,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,13,4
10,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,6,3
14,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,6,26
1,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,5,32
1,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4,2,31
9,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9,3,31
1,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1,9,4
1,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1,16,15
1,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5,23,15
1,14,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7,10,10
14,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7,8,15
17,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8,7,32
19,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4,7,1
1,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7,9,7
14,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8,7,12
18,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4,5,0
